Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
Aarnet.zdd,,,,8.3030,,3745638000,29636
Abilene.zdd,,,,2.6090,,921600,200
Abvt.zdd,,,,2.7554,,15125000,371
Aconet.zdd,,,,5.1118,,478600,16101
Agis.zdd,,,,3.3526,,589680,271
Ai3.zdd,,,,5.0557,,543750,253
Airtel.zdd,,,,3.5948,,583000000,296
Amres.zdd,,,,3.2715,,2042880,242
Ans.zdd,,,,2.8889,,17550,201
Arn.zdd,,,,2.0100,,3244800,184
Arnes.zdd,,,,2.8317,,143000000,222
Arpanet19723.zdd,,,,4.4870,,983040,193
AsnetAm.zdd,,,,273.0403,,14315513442667233280,447588
AttMpls.zdd,,,,1.8082,,53295000,728
Azrena.zdd,,,,1.8149,,1000000,155
Bandcon.zdd,,,,2.0626,,32400000,242
Basnet.zdd,,,,4.1730,,893750,360
Bbnplanet.zdd,,,,1.3885,,1100,184
Bellcanada.zdd,,,,1.6117,,775,136
Bellsouth.zdd,,,,4.5081,,518700000,258
Belnet2003.zdd,,,,4.3955,,17563560000,825
Belnet2004.zdd,,,,0.0070,,26,29
Belnet2005.zdd,,,,2.0620,,23688,2119
Belnet2006.zdd,,,,35.7508,,6762500,13030
Belnet2007.zdd,,,,2.2745,,676,127
Belnet2010.zdd,,,,1.9531,,16105100,205
BeyondTheNetwork.zdd,,,,2.3716,,650,112
Bics.zdd,,,,2.3577,,43500000,227
Biznet.zdd,,,,3.6474,,921600,184
Bren.zdd,,,,4.9287,,422500,226
BsonetEurope.zdd,,,,2.2727,,3080000,203
BtAsiaPac.zdd,,,,4.7097,,7768320,432
BtEurope.zdd,,,,2.7091,,306867,9545
BtLatinAmerica.zdd,,,,0.0078,,4,13
BtNorthAmerica.zdd,,,,235.1195,,10232768192287604736,250068
Canerie.zdd,,,,5.1069,,15625,172
Carnet.zdd,,,,19.5552,,8292375,1392
Cernet.zdd,,,,6.1119,,406250,239
Cesnet1993.zdd,,,,19.8971,,350875,1152
Cesnet1997.zdd,,,,3.9434,,110000000,190
Cesnet1999.zdd,,,,10.2891,,14289600,22405
Cesnet200304.zdd,,,,0.0059,,26,27
Cesnet200511.zdd,,,,10.1590,,4504320,396
Cesnet200603.zdd,,,,3.3503,,483600000,289
Cesnet200706.zdd,,,,0.0069,,7,18
Cesnet201006.zdd,,,,1294.8464,,2990671180127690344,7907648
Chinanet.zdd,,,,3.0086,,169400000,202
Cogentco.zdd,,,,2.3966,,7802880,508
Colt.zdd,,,,645.5254,,7240952582078769412,3568786
Columbus.zdd,,,,127.5435,,12378284682683351040,143269
CrlNetworkServices.zdd,,,,6.1374,,3970560,325
Cudi.zdd,,,,0.0118,,7,22
Cwix.zdd,,,,0.0063,,4,14
Cynet.zdd,,,,2.8919,,158400000,211
Deltacom.zdd,,,,3.9190,,148517100,2963
DeutscheTelekom.zdd,,,,89.1589,,2162223154982691,879171
Dfn.zdd,,,,228.7427,,764496277537030144,187410
DialtelecomCz.zdd,,,,272.6712,,14174542706139597432,1875096
Digex.zdd,,,,0.0075,,14,28
Eenet.zdd,,,,2.7997,,144000000,214
EliBackbone.zdd,,,,9.5018,,1588750,439
Epoch.zdd,,,,2.9181,,15625,188
Esnet.zdd,,,,159.3083,,9505299984094855168,161196
Eunetworks.zdd,,,,11.5832,,736875,1611
Evolink.zdd,,,,0.0060,,13,26
Fatman.zdd,,,,3.5557,,1094400,201
Fccn.zdd,,,,7.8032,,1175,195
Forthnet.zdd,,,,101.4197,,3913815221911781140,529569
Garr200109.zdd,,,,9.1356,,167615000,7369
Garr200112.zdd,,,,2.8639,,3267000,183
Garr200212.zdd,,,,26.1397,,6202660050,12404
Garr200404.zdd,,,,2.5456,,10000000,193
Garr200902.zdd,,,,275.8136,,11258530278794952704,243526
Garr200908.zdd,,,,62.7166,,15625045301847392256,78495
Garr200909.zdd,,,,312.1151,,320971632840973659,2680096
Garr200912.zdd,,,,3.0630,,17303000,199
Garr201001.zdd,,,,1038.1904,,5486068793499975680,917085
Garr201003.zdd,,,,2.4450,,12100000,186
Garr201004.zdd,,,,2.2023,,625,127
Garr201005.zdd,,,,82.7143,,2774465220112809984,130119
Garr201007.zdd,,,,339.9728,,16449049989117640704,430262
Garr201008.zdd,,,,408.2133,,6404404463963209728,351240
Garr201010.zdd,,,,235.5488,,13113960087397859328,220928
Garr201012.zdd,,,,2.3268,,754,141
Garr201101.zdd,,,,2.8885,,10000000,180
Garr201102.zdd,,,,205.9632,,4209905658275299328,256181
Garr201103.zdd,,,,3.8541,,979200,189
Garr201104.zdd,,,,399.8301,,12305625418437230592,359756
Garr201105.zdd,,,,184.1264,,10662380187229880320,206039
Garr201107.zdd,,,,3.1930,,1530000,208
Garr201108.zdd,,,,290.6433,,13855323938573516800,337581
Garr201109.zdd,,,,480.3129,,244937290921899520,484734
Garr201110.zdd,,,,130.9639,,15505305619706937344,175183
Garr201111.zdd,,,,5.8794,,12715000,17261
Garr201112.zdd,,,,2.8044,,618618,16090
Garr201201.zdd,,,,160.5733,,14514526782421467136,227275
Gblnet.zdd,,,,2.7153,,625,126
Geant2001.zdd,,,,0.0039,,5,11
Geant2009.zdd,,,,0.0077,,10,22
Geant2010.zdd,,,,0.0080,,8,19
Geant2012.zdd,,,,226.7155,,2735938298451161828,1466931
Getnet.zdd,,,,34.2128,,1765625,546
Globalcenter.zdd,,,,1.2698,,62118,3180
Globenet.zdd,,,,4.3312,,18850,188
Grena.zdd,,,,13.7458,,19591875,2067
Gridnet.zdd,,,,2.1772,,625,113
Grnet.zdd,,,,5.5543,,29040000,241
GtsCe.zdd,,,,1.6915,,650,123
GtsCzechRepublic.zdd,,,,3.5351,,1252815,197
GtsHungary.zdd,,,,2.3178,,26509392,805
GtsPoland.zdd,,,,2.3931,,12100000,188
GtsSlovakia.zdd,,,,1.9193,,676,122
Harnet.zdd,,,,4.1652,,850,136
Heanet.zdd,,,,5.3577,,1139250,1570
HiberniaCanada.zdd,,,,1.6220,,11484000,317
HiberniaGlobal.zdd,,,,2.8714,,242319600,691
Highwinds.zdd,,,,0.0081,,2,11
HurricaneElectric.zdd,,,,3.7177,,11000000,185
Ibm.zdd,,,,4.3003,,871200000,331
Iij.zdd,,,,250.0975,,10767559272630861824,221377
Iinet.zdd,,,,0.0035,,7,17
Ilan.zdd,,,,5.9905,,23427360,721
Integra.zdd,,,,5.6339,,523125,251
Intellifiber.zdd,,,,6.2172,,21450,213
Internetmci.zdd,,,,0.0063,,8,21
Internode.zdd,,,,2.8708,,110000000,200
Interoute.zdd,,,,322.5327,,2757235212886070112,1875300
Intranetwork.zdd,,,,0.0165,,4,16
Ion.zdd,,,,2.9875,,134534400,292
IowaStatewideFiberMap.zdd,,,,2.1575,,1100000,147
Iris.zdd,,,,692.2512,,18356217980362155904,3272266
Janetbackbone.zdd,,,,0.0061,,3,11
Janetlense.zdd,,,,3.9414,,1175040,204
Kdl.zdd,,,,2.0114,,750,125
KentmanApr2007.zdd,,,,9.3230,,78088400,122946
KentmanAug2005.zdd,,,,0.8218,,728,121
KentmanJan2011.zdd,,,,4.6988,,1795200,237
Kreonet.zdd,,,,2.9965,,192000000,239
LambdaNet.zdd,,,,14.3795,,768288950,149328
Latnet.zdd,,,,222.0544,,18159868829822025728,267883
Layer42.zdd,,,,3.9096,,1179120,204
Litnet.zdd,,,,3.8042,,10000000,180
Marwan.zdd,,,,4.1564,,16250,181
Missouri.zdd,,,,152.6336,,7262518377883631616,195604
Mren.zdd,,,,2.2760,,1695744,212
Myren.zdd,,,,0.0072,,9,23
NetworkUsa.zdd,,,,4.2839,,605000000,280
Niif.zdd,,,,0.0042,,3,12
Nordu1997.zdd,,,,3.6520,,154000000,215
Nsfnet.zdd,,,,3.0515,,26400000,255
Ntelos.zdd,,,,33.7053,,10256150954952,280484
Ntt.zdd,,,,4.0191,,24050,225
Oteglobe.zdd,,,,1.6551,,1950000,174
Oxford.zdd,,,,5.1142,,16900,175
Palmetto.zdd,,,,timeout,,,
Pern.zdd,,,,5.4130,,12081714032677486592,720
PionierL1.zdd,,,,0.0049,,9,15
PionierL3.zdd,,,,0.0094,,6,16
Quest.zdd,,,,16.8365,,664950,2263
RedBestel.zdd,,,,2.4409,,1323008,214
Rediris.zdd,,,,7.6368,,26744400,878
Renater2001.zdd,,,,3.0585,,1430550,205
Renater2004.zdd,,,,0.0056,,2,7
Renater2006.zdd,,,,0.0052,,2,9
Renater2008.zdd,,,,0.0050,,6,15
Renater2010.zdd,,,,0.0112,,6,17
Restena.zdd,,,,4.1588,,18215680,16968
Reuna.zdd,,,,7.1851,,474552,259
Rnp.zdd,,,,0.0059,,7,18
Roedunet.zdd,,,,0.0093,,11,27
RoedunetFibre.zdd,,,,4.3797,,16875,172
Sago.zdd,,,,4.1862,,16875,186
Sanet.zdd,,,,0.0078,,4,13
Savvis.zdd,,,,6.0183,,17550,172
Shentel.zdd,,,,0.0035,,6,12
Sinet.zdd,,,,412.8182,,11058759333406834688,273957
Singaren.zdd,,,,3.3295,,1300500,215
Sunet.zdd,,,,0.0095,,12,27
Surfnet.zdd,,,,2.9558,,2030525,27347
Switch.zdd,,,,50.7391,,8686576419121135616,73524
SwitchL3.zdd,,,,7.7738,,4650,601
Syringa.zdd,,,,3.3370,,16875,181
TLex.zdd,,,,2.1650,,13200000,190
TataNld.zdd,,,,540.6719,,14745294730356347890,2907626
Telcove.zdd,,,,3.2788,,15900000,367
Tinet.zdd,,,,440.4525,,17334874733804519424,322807
Tw.zdd,,,,1233.4850,,11946787347461221376,861701
Ulaknet.zdd,,,,2.2232,,1395360,216
UniC.zdd,,,,1.7458,,3250000,246
Uninet.zdd,,,,2.2304,,50400000,219
Uninett2010.zdd,,,,0.8592,,650,120
Uninett2011.zdd,,,,8.4823,,422500,242
Uran.zdd,,,,3.3762,,110000000,216
UsCarrier.zdd,,,,4.6857,,3794400,323
Uunet.zdd,,,,2.6188,,12100000,183
VtlWavenet2011.zdd,,,,2.1675,,121440000,279
WideJpn.zdd,,,,7.7847,,32500,271
Xeex.zdd,,,,2.3551,,254100000,244
York.zdd,,,,12.9423,,325517312,3297
Zamren.zdd,,,,1.2026,,1800000,172
grafo10000.38.zdd,,,,0.0072,,5,17
grafo10002.40.zdd,,,,0.0072,,4,12
grafo10003.40.zdd,,,,0.0093,,3,13
grafo10004.32.zdd,,,,0.0035,,6,15
grafo10005.39.zdd,,,,0.0081,,9,22
grafo10006.98.zdd,,,,timeout,,,
grafo10007.31.zdd,,,,0.0056,,14,30
grafo10008.42.zdd,,,,57.3739,,6417864188208,495457
grafo10009.31.zdd,,,,0.0058,,3,10
grafo10010.39.zdd,,,,0.0100,,16,21
grafo10011.31.zdd,,,,0.0058,,10,18
grafo10012.40.zdd,,,,0.0091,,2,13
grafo10013.31.zdd,,,,0.0080,,9,18
grafo10014.39.zdd,,,,0.0123,,10,19
grafo10015.39.zdd,,,,0.0088,,4,11
grafo10016.39.zdd,,,,0.0078,,5,18
grafo10017.96.zdd,,,,timeout,,,
grafo10018.31.zdd,,,,0.0027,,9,18
grafo10019.38.zdd,,,,0.0064,,3,12
grafo10020.38.zdd,,,,0.0097,,7,22
grafo10021.39.zdd,,,,0.0103,,16,40
grafo10022.31.zdd,,,,0.0031,,3,9
grafo10023.39.zdd,,,,0.0071,,2,11
grafo10024.32.zdd,,,,0.0055,,4,11
