Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
Aarnet.zdd,,,timeout,,,,
Abilene.zdd,,,timeout,,,,
Abvt.zdd,,,timeout,,,,
Aconet.zdd,,,102.7063,,478600,,
Agis.zdd,,,timeout,,,,
Ai3.zdd,,,timeout,,,,
Airtel.zdd,,,timeout,,,,
Amres.zdd,,,timeout,,,,
Ans.zdd,,,698.0796,,17550,,
Arn.zdd,,,timeout,,,,
Arnes.zdd,,,timeout,,,,
Arpanet19723.zdd,,,timeout,,,,
AsnetAm.zdd,,,timeout,,,,
AttMpls.zdd,,,timeout,,,,
Azrena.zdd,,,timeout,,,,
Bandcon.zdd,,,timeout,,,,
Basnet.zdd,,,timeout,,,,
Bbnplanet.zdd,,,19.6335,,1100,,
Bellcanada.zdd,,,10.4247,,775,,
Bellsouth.zdd,,,timeout,,,,
Belnet2003.zdd,,,timeout,,,,
Belnet2004.zdd,,,0.0075,,26,,
Belnet2005.zdd,,,29.1779,,23688,,
Belnet2006.zdd,,,timeout,,,,
Belnet2007.zdd,,,31.5231,,676,,
Belnet2010.zdd,,,timeout,,,,
BeyondTheNetwork.zdd,,,28.1128,,650,,
Bics.zdd,,,timeout,,,,
Biznet.zdd,,,timeout,,,,
Bren.zdd,,,timeout,,,,
BsonetEurope.zdd,,,timeout,,,,
BtAsiaPac.zdd,,,timeout,,,,
BtEurope.zdd,,,78.0036,,306867,,
BtLatinAmerica.zdd,,,0.0048,,4,,
BtNorthAmerica.zdd,,,timeout,,,,
Canerie.zdd,,,1072.9394,,15625,,
Carnet.zdd,,,timeout,,,,
Cernet.zdd,,,timeout,,,,
Cesnet1993.zdd,,,timeout,,,,
Cesnet1997.zdd,,,timeout,,,,
Cesnet1999.zdd,,,timeout,,,,
Cesnet200304.zdd,,,0.0073,,26,,
Cesnet200511.zdd,,,timeout,,,,
Cesnet200603.zdd,,,timeout,,,,
Cesnet200706.zdd,,,0.0029,,7,,
Cesnet201006.zdd,,,timeout,,,,
Chinanet.zdd,,,timeout,,,,
Cogentco.zdd,,,timeout,,,,
Colt.zdd,,,timeout,,,,
Columbus.zdd,,,timeout,,,,
CrlNetworkServices.zdd,,,timeout,,,,
Cudi.zdd,,,0.0065,,7,,
Cwix.zdd,,,0.0029,,4,,
Cynet.zdd,,,timeout,,,,
Deltacom.zdd,,,timeout,,,,
DeutscheTelekom.zdd,,,timeout,,,,
Dfn.zdd,,,timeout,,,,
DialtelecomCz.zdd,,,timeout,,,,
Digex.zdd,,,0.0051,,14,,
Eenet.zdd,,,timeout,,,,
EliBackbone.zdd,,,timeout,,,,
Epoch.zdd,,,375.0243,,15625,,
Esnet.zdd,,,timeout,,,,
Eunetworks.zdd,,,timeout,,,,
Evolink.zdd,,,0.0031,,13,,
Fatman.zdd,,,timeout,,,,
Fccn.zdd,,,75.8432,,1175,,
Forthnet.zdd,,,timeout,,,,
Garr200109.zdd,,,timeout,,,,
Garr200112.zdd,,,timeout,,,,
Garr200212.zdd,,,timeout,,,,
Garr200404.zdd,,,timeout,,,,
Garr200902.zdd,,,timeout,,,,
Garr200908.zdd,,,timeout,,,,
Garr200909.zdd,,,timeout,,,,
Garr200912.zdd,,,timeout,,,,
Garr201001.zdd,,,timeout,,,,
Garr201003.zdd,,,timeout,,,,
Garr201004.zdd,,,21.9180,,625,,
Garr201005.zdd,,,timeout,,,,
Garr201007.zdd,,,timeout,,,,
Garr201008.zdd,,,timeout,,,,
Garr201010.zdd,,,timeout,,,,
Garr201012.zdd,,,22.7605,,754,,
Garr201101.zdd,,,timeout,,,,
Garr201102.zdd,,,timeout,,,,
Garr201103.zdd,,,timeout,,,,
Garr201104.zdd,,,timeout,,,,
Garr201105.zdd,,,timeout,,,,
Garr201107.zdd,,,timeout,,,,
Garr201108.zdd,,,timeout,,,,
Garr201109.zdd,,,timeout,,,,
Garr201110.zdd,,,timeout,,,,
Garr201111.zdd,,,timeout,,,,
Garr201112.zdd,,,55.5929,,618618,,
Garr201201.zdd,,,timeout,,,,
Gblnet.zdd,,,36.5716,,625,,
Geant2001.zdd,,,0.0017,,5,,
Geant2009.zdd,,,0.0031,,10,,
Geant2010.zdd,,,0.0037,,8,,
Geant2012.zdd,,,timeout,,,,
Getnet.zdd,,,timeout,,,,
Globalcenter.zdd,,,18.6124,,62118,,
Globenet.zdd,,,414.5462,,18850,,
Grena.zdd,,,timeout,,,,
Gridnet.zdd,,,36.5111,,625,,
Grnet.zdd,,,timeout,,,,
GtsCe.zdd,,,29.2008,,650,,
GtsCzechRepublic.zdd,,,timeout,,,,
GtsHungary.zdd,,,timeout,,,,
GtsPoland.zdd,,,timeout,,,,
GtsSlovakia.zdd,,,36.7009,,676,,
Harnet.zdd,,,46.4453,,850,,
Heanet.zdd,,,timeout,,,,
HiberniaCanada.zdd,,,timeout,,,,
HiberniaGlobal.zdd,,,timeout,,,,
Highwinds.zdd,,,0.0032,,2,,
HurricaneElectric.zdd,,,timeout,,,,
Ibm.zdd,,,timeout,,,,
Iij.zdd,,,timeout,,,,
Iinet.zdd,,,0.0019,,7,,
Ilan.zdd,,,timeout,,,,
Integra.zdd,,,timeout,,,,
Intellifiber.zdd,,,996.6954,,21450,,
Internetmci.zdd,,,0.0031,,8,,
Internode.zdd,,,timeout,,,,
Interoute.zdd,,,timeout,,,,
Intranetwork.zdd,,,0.0102,,4,,
Ion.zdd,,,timeout,,,,
IowaStatewideFiberMap.zdd,,,timeout,,,,
Iris.zdd,,,timeout,,,,
Janetbackbone.zdd,,,0.0036,,3,,
Janetlense.zdd,,,timeout,,,,
Kdl.zdd,,,24.6906,,750,,
KentmanApr2007.zdd,,,timeout,,,,
KentmanAug2005.zdd,,,11.0567,,728,,
KentmanJan2011.zdd,,,timeout,,,,
Kreonet.zdd,,,timeout,,,,
LambdaNet.zdd,,,timeout,,,,
Latnet.zdd,,,timeout,,,,
Layer42.zdd,,,timeout,,,,
Litnet.zdd,,,timeout,,,,
Marwan.zdd,,,689.8724,,16250,,
Missouri.zdd,,,timeout,,,,
Mren.zdd,,,timeout,,,,
Myren.zdd,,,0.0044,,9,,
NetworkUsa.zdd,,,timeout,,,,
Niif.zdd,,,0.0021,,3,,
Nordu1997.zdd,,,timeout,,,,
Nsfnet.zdd,,,timeout,,,,
Ntelos.zdd,,,timeout,,,,
Ntt.zdd,,,1135.4660,,24050,,
Oteglobe.zdd,,,timeout,,,,
Oxford.zdd,,,863.1768,,16900,,
Palmetto.zdd,,,timeout,,,,
Pern.zdd,,,timeout,,,,
