Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
AsnetAm.zdd,,,timeout,,,,
AttMpls.zdd,,,timeout,,,,
Bellcanada.zdd,,,timeout,,,,
Bellsouth.zdd,,,timeout,,,,
BeyondTheNetwork.zdd,,,timeout,,,,
BtNorthAmerica.zdd,,,timeout,,,,
Cernet.zdd,,,timeout,,,,
Cesnet200706.zdd,,,timeout,,,,
Cesnet201006.zdd,,,timeout,,,,
Chinanet.zdd,,,419.1889,,7691190,,
Cogentco.zdd,,,timeout,,,,
Colt.zdd,,,timeout,,,,
Columbus.zdd,,,timeout,,,,
Cudi.zdd,,,timeout,,,,
Deltacom.zdd,,,timeout,,,,
DeutscheTelekom.zdd,,,timeout,,,,
Dfn.zdd,,,timeout,,,,
DialtelecomCz.zdd,,,timeout,,,,
Esnet.zdd,,,timeout,,,,
Forthnet.zdd,,,timeout,,,,
Garr200902.zdd,,,timeout,,,,
Garr200908.zdd,,,timeout,,,,
Garr200909.zdd,,,timeout,,,,
Garr200912.zdd,,,timeout,,,,
Garr201001.zdd,,,timeout,,,,
Garr201003.zdd,,,timeout,,,,
Garr201004.zdd,,,timeout,,,,
Garr201005.zdd,,,timeout,,,,
Garr201007.zdd,,,timeout,,,,
Garr201008.zdd,,,timeout,,,,
Garr201010.zdd,,,timeout,,,,
Garr201012.zdd,,,timeout,,,,
Garr201101.zdd,,,timeout,,,,
Garr201102.zdd,,,timeout,,,,
Garr201103.zdd,,,timeout,,,,
Garr201104.zdd,,,timeout,,,,
Garr201105.zdd,,,timeout,,,,
Garr201107.zdd,,,timeout,,,,
Garr201108.zdd,,,timeout,,,,
Garr201109.zdd,,,timeout,,,,
Garr201110.zdd,,,timeout,,,,
Garr201111.zdd,,,timeout,,,,
Garr201112.zdd,,,timeout,,,,
Garr201201.zdd,,,timeout,,,,
Geant2009.zdd,,,timeout,,,,
Geant2010.zdd,,,timeout,,,,
Geant2012.zdd,,,timeout,,,,
Globenet.zdd,,,timeout,,,,
GtsCe.zdd,,,timeout,,,,
HiberniaGlobal.zdd,,,timeout,,,,
Highwinds.zdd,,,97.1394,,2620625,,
Iij.zdd,,,timeout,,,,
Intellifiber.zdd,,,timeout,,,,
Internode.zdd,,,timeout,,,,
Interoute.zdd,,,timeout,,,,
Intranetwork.zdd,,,timeout,,,,
Ion.zdd,,,timeout,,,,
Iris.zdd,,,timeout,,,,
Kdl.zdd,,,0.4453 (WARNING: 0 solutions),,0,,
Latnet.zdd,,,timeout,,,,
Missouri.zdd,,,timeout,,,,
Ntelos.zdd,,,timeout,,,,
Ntt.zdd,,,timeout,,,,
Oteglobe.zdd,,,timeout,,,,
Palmetto.zdd,,,timeout,,,,
Pern.zdd,,,timeout,,,,
PionierL3.zdd,,,timeout,,,,
RedBestel.zdd,,,timeout,,,,
Renater2010.zdd,,,timeout,,,,
RoedunetFibre.zdd,,,timeout,,,,
Sinet.zdd,,,timeout,,,,
Surfnet.zdd,,,timeout,,,,
Switch.zdd,,,timeout,,,,
SwitchL3.zdd,,,timeout,,,,
