Filename,Nodes,sols,Updates,Time(s),Status
latin8-blk-00009,-,-,-,-,FAILED
att48,70804416,35391177,227524945,205.731,SUCCESS
grafo8513.100,148332,1214,17068628,7.85223,SUCCESS
grafo121.20,147059,14580,1713210,1.08578,SUCCESS
sppnw09,-,-,-,-,FAILED
Darkstrand,17625823,5589130,182114116,130.245,SUCCESS
sppnw14,-,-,-,-,FAILED
doublefact-17,83070858,34459425,481195403,384.331,SUCCESS
sppnw06,-,-,-,-,FAILED
latin6-blk-00001,616,48,9475,0.0071236,SUCCESS
kts15-ptpt-0002,1255,0,226474,0.128742,SUCCESS
latin7-blk-00009,287929,27776,4261508,3.22064,SUCCESS
latin6-blk-00003,881,80,13369,0.0100933,SUCCESS
bell-07,1754,877,5769,0.00494329,SUCCESS
doublefact-07,253,105,1448,0.00117266,SUCCESS
grafo7785.100,812121,387235,3099005,2.68265,SUCCESS
heart,4236671,3082,935304823,523.359,SUCCESS
sppnw13,-,-,-,-,FAILED
UsCarrier,2689,0,319,0.00665848,SUCCESS
sppnw29,19026240,8895932,154915366,99.0214,SUCCESS
ulysses16,2052321,572526,26122568,15.4076,SUCCESS
latin7-blk-00008,282428,27072,4298901,3.24865,SUCCESS
Missouri,135,32,1713,0.00168004,SUCCESS
bell-03,10,5,25,3.3844e-05,SUCCESS
latin7-blk-00006,293162,29056,4432181,3.34289,SUCCESS
doublefact-23,-,-,-,-,FAILED
doublefact-19,-,-,-,-,FAILED
grafo8674.100,-,-,-,-,FAILED
latin8-blk-00006,-,-,-,-,FAILED
doublefact-27,-,-,-,-,FAILED
sppnw20,452814,216884,3273359,2.48004,SUCCESS
grafo8564.100,11761,0,221786,0.125295,SUCCESS
doublefact-05,36,15,194,0.000166672,SUCCESS
sppnw26,362702,153702,4143451,2.59663,SUCCESS
latin6-blk-00007,834,80,12429,0.00944381,SUCCESS
sppnw30,1880759,870137,25469446,17.4232,SUCCESS
latin8-blk-00010,-,-,-,-,FAILED
latin8-blk-00008,-,-,-,-,FAILED
latin8-blk-00004,-,-,-,-,FAILED
kts15-ptpt-0014,2809,8,465091,0.266888,SUCCESS
latin8-blk-00007,-,-,-,-,FAILED
latin6-blk-00002,664,56,10588,0.00791435,SUCCESS
grafo251.20,51902,3912,2688403,1.34187,SUCCESS
kts15-ptpt-0011,2352,4,390116,0.224035,SUCCESS
latin7-blk-00005,215653,20480,3412274,2.5391,SUCCESS
sppnw04,-,-,-,-,FAILED
kts15-ptpt-0005,1232,0,221953,0.128161,SUCCESS
bell-06,406,203,1325,0.00117702,SUCCESS
latin6-blk-00005,867,80,13530,0.0104913,SUCCESS
doublefact-25,-,-,-,-,FAILED
sppnw12,-,-,-,-,FAILED
Ion,114,0,189,0.000530445,SUCCESS
grafo215.20,41915,8728,976424,0.585532,SUCCESS
sts15-blk-00008,403,40,8442,0.00585975,SUCCESS
kts15-ptpt-0006,1801,8,295899,0.169182,SUCCESS
kts15-ptpt-0001,1045,0,197390,0.10891,SUCCESS
latin6-blk-00004,761,72,11548,0.00869389,SUCCESS
grid33,179207,50276,1838420,1.20461,SUCCESS
kts15-ptpt-0008,1843,0,315188,0.180327,SUCCESS
kts15-ptpt-0021,3687,72,486056,0.28568,SUCCESS
doublefact-03,7,3,29,3.1811e-05,SUCCESS
sts15-blk-00007,222,8,6904,0.00447679,SUCCESS
sppnw22,205765,88884,3524082,2.3787,SUCCESS
eil51,-,-,-,-,FAILED
sppnw02,-,-,-,-,FAILED
kts15-ptpt-0007,1823,12,296877,0.169358,SUCCESS
bell-04,30,15,89,8.7263e-05,SUCCESS
sppnw16,8140,0,169038241,70.594,SUCCESS
doublefact-29,-,-,-,-,FAILED
Deltacom,186907,0,15332,0.403362,SUCCESS
meteor,120910,300,30392249,12.2034,SUCCESS
doublefact-01,2,1,3,7.274e-06,SUCCESS
bell-10,231950,115975,764989,0.652569,SUCCESS
doublefact-15,4886521,2027025,28305584,22.4596,SUCCESS
bell-09,42294,21147,139473,0.119279,SUCCESS
sppnw17,-,-,-,-,FAILED
kts15-ptpt-0004,1979,1,348242,0.199429,SUCCESS
kts15-ptpt-0010,1806,0,318641,0.181966,SUCCESS
sppnw03,-,-,-,-,FAILED
latin7-blk-00003,194010,17280,3022085,2.25392,SUCCESS
doublefact-21,-,-,-,-,FAILED
sts15-blk-00009,225,8,6969,0.00457399,SUCCESS
sppnw15,3573,40,123117,0.0682474,SUCCESS
sppnw24,351648,168257,3158756,2.36602,SUCCESS
doublefact-13,325768,135135,1887014,1.5245,SUCCESS
latin8-blk-00002,-,-,-,-,FAILED
delta,70773,27,28388031,12.5188,SUCCESS
latin7-blk-00002,171513,14976,2747652,2.04355,SUCCESS
doublefact-09,2278,945,13175,0.0105975,SUCCESS
sts15-blk-00005,178,0,5768,0.00372665,SUCCESS
sppnw21,237783,110458,2059573,1.68529,SUCCESS
UsSignal,261,0,5275,0.00445411,SUCCESS
latin7-blk-00004,218737,19840,3355503,2.53377,SUCCESS
latin7-blk-00001,133973,10752,2182220,1.60997,SUCCESS
sppnw27,564665,264608,3555708,2.74238,SUCCESS
bell-08,8280,4140,27291,0.0234057,SUCCESS
sppnw10,893321,193640,5571607,4.00833,SUCCESS
kts15-ptpt-0013,2883,24,450281,0.260733,SUCCESS
sppnw19,-,-,-,-,FAILED
grafo8373.100,15873234,0,932845024,333.332,SUCCESS
sppnw01,-,-,-,-,FAILED
latin8-blk-00003,-,-,-,-,FAILED
Funet,993103,288736,11331207,7.37867,SUCCESS
grafo8224.100,29364471,13102997,201691482,141.905,SUCCESS
latin7-blk-00007,249078,23616,3829436,2.86163,SUCCESS
sppnw25,888777,433645,7483506,5.86993,SUCCESS
VisionNet,33810,4150,231535,0.182831,SUCCESS
sppnw18,-,-,-,-,FAILED
latin8-blk-00001,-,-,-,-,FAILED
bell-12,8427194,4213597,27794325,23.9393,SUCCESS
grafo117.20,24660,2412,673912,0.402119,SUCCESS
latin8-blk-00005,-,-,-,-,FAILED
kts15-ptpt-0009,2178,6,357667,0.207586,SUCCESS
latin6-blk-00006,881,88,12560,0.00962482,SUCCESS
doublefact-11,25059,10395,145133,0.115592,SUCCESS
burma14,376285,109665,2928565,2.02544,SUCCESS
exotic_fives,-,-,-,-,FAILED
Interoute,37497,0,464158,0.358869,SUCCESS
bell-11,1357140,678570,4476059,3.81627,SUCCESS
kts15-ptpt-0003,1339,8,223818,0.126464,SUCCESS
grafo190.20,321285,52226,8694993,4.27182,SUCCESS
grafo244.20,43513,2702,883501,0.506719,SUCCESS
kts15-ptpt-0012,1026,4,164071,0.0943726,SUCCESS
sppnw28,21976,10122,191235,0.128292,SUCCESS
sts15-blk-00006,403,40,8447,0.00585542,SUCCESS
sppnw07,-,-,-,-,FAILED
kts15-ptpt-0020,3145,8,508076,0.293527,SUCCESS
bell-05,104,52,331,0.000303752,SUCCESS
sppnw08,464622,168255,3305749,2.35713,SUCCESS
sppnw23,41731,13900,693644,0.385159,SUCCESS
